City,Cloudiness,Country,Date,Humidity,Lat,Lon,MaxTemp,WindSpeed
Yayva,92.0,RU,1553750841.0,96.0,59.33,57.26,1.77,3.71
Nazareno,44.0,MX,1553750595.0,47.0,25.4,-103.42,22.78,1.51
bur gabo,,,,,,,,
dujuma,,,,,,,,
Dahra,0.0,DZ,1553745600.0,75.0,36.25,0.85,8.0,2.46
Jiwani,36.0,PK,1553750843.0,77.0,25.05,61.74,26.07,1.51
Talca,0.0,CL,1553749200.0,87.0,-35.43,-71.66,12.0,1.0
Jablanica,0.0,BA,1553749200.0,48.0,43.66,17.76,5.0,3.1
Ucluelet,12.0,CA,1553749933.0,82.0,48.94,-125.55,10.0,1.16
Norsup,76.0,VU,1553750844.0,90.0,-16.07,167.38,27.37,4.81
Bogotol,80.0,RU,1553750844.0,88.0,56.21,89.53,1.62,4.61
Tomatlan,0.0,MX,1553750844.0,87.0,19.93,-105.25,17.77,0.86
lushunkou,,,,,,,,
Marienburg,80.0,DE,1553750716.0,100.0,52.12,9.98,8.33,2.6
Scarborough,0.0,GB,1553750642.0,87.0,54.28,-0.41,7.22,2.6
Barra do Garcas,36.0,BR,1553750845.0,94.0,-15.89,-52.26,21.22,1.61
Byron Bay,90.0,AU,1553750576.0,57.0,-28.65,153.62,26.0,6.2
haibowan,,,,,,,,
Flinders,40.0,AU,1553750825.0,53.0,-34.58,150.85,27.78,6.7
Sivaki,68.0,RU,1553750846.0,33.0,52.63,126.75,-3.59,2.51
Cambridge,90.0,GB,1553750643.0,100.0,52.2,0.12,7.22,2.1
Yukon,1.0,US,1553750781.0,59.0,35.51,-97.76,17.22,6.2
Tabou,0.0,CI,1553750850.0,97.0,4.42,-7.36,28.67,2.11
Aguimes,20.0,ES,1553750733.0,77.0,27.91,-15.45,15.56,2.6
Svetlogorsk,76.0,RU,1553749200.0,100.0,53.14,59.15,-4.0,4.0
Nanortalik,0.0,GL,1553750733.0,100.0,60.14,-45.24,-4.09,15.81
El Alto,75.0,BO,1553749740.0,100.0,-16.5,-68.19,6.0,3.1
Camacha,40.0,PT,1553749200.0,87.0,33.08,-16.33,16.0,1.0
Faanui,80.0,PF,1553750852.0,98.0,-16.48,-151.75,29.77,1.76
Leningradskiy,76.0,RU,1553750852.0,86.0,69.38,178.42,-7.94,9.86
Chokurdakh,24.0,RU,1553750661.0,84.0,70.62,147.9,-14.89,5.76
Cedar Lake,90.0,US,1553750740.0,81.0,41.36,-87.44,8.33,4.6
Birao,12.0,CF,1553750853.0,24.0,10.3,22.78,23.82,6.01
Kruisfontein,48.0,ZA,1553750853.0,85.0,-34.0,24.73,17.17,5.31
Yashkul,80.0,RU,1553750853.0,74.0,46.17,45.34,7.82,7.51
Fatsa,75.0,TR,1553748600.0,75.0,41.03,37.5,8.0,1.0
Grindavik,75.0,IS,1553750083.0,100.0,63.84,-22.43,0.0,4.6
Sambava,76.0,MG,1553750854.0,100.0,-14.27,50.17,26.87,3.66
Atasu,100.0,KZ,1553750855.0,94.0,48.68,71.64,5.27,8.86
Talnakh,92.0,RU,1553750855.0,99.0,69.49,88.39,-2.34,5.81
Westport,12.0,IE,1553750525.0,79.0,53.8,-9.52,9.44,0.45
Klaksvik,76.0,FO,1553748600.0,93.0,62.23,-6.59,8.0,6.7
zhitikara,,,,,,,,
Hamilton,75.0,BM,1553750269.0,82.0,32.3,-64.78,17.0,7.2
Awbari,64.0,LY,1553750856.0,62.0,26.59,12.77,15.47,1.26
chokwe,,,,,,,,
Coihaique,90.0,CL,1553749200.0,65.0,-45.58,-72.07,7.0,3.1
Necochea,0.0,AR,1553750479.0,88.0,-38.55,-58.74,12.78,1.34
Boysun,36.0,UZ,1553750857.0,100.0,38.2,67.2,6.92,0.41
Humaita,90.0,AR,1553749200.0,93.0,-24.93,-65.37,13.0,1.5
tabiauea,,,,,,,,
Mlonggo,20.0,ID,1553749200.0,66.0,-6.53,110.7,30.0,3.6
Barcelos,0.0,PT,1553750687.0,19.0,41.53,-8.62,15.0,6.7
Orocue,48.0,CO,1553750858.0,69.0,4.79,-71.34,27.27,3.11
Bud,75.0,NO,1553750156.0,61.0,62.91,6.91,10.0,10.3
Nemuro,75.0,JP,1553749200.0,100.0,43.32,145.57,0.0,5.1
Bandarbeyla,0.0,SO,1553750862.0,100.0,9.49,50.81,26.27,2.61
Dipolog,80.0,PH,1553750863.0,96.0,8.58,123.34,25.72,1.86
Conakry,68.0,GN,1553750863.0,100.0,9.52,-13.7,24.32,1.96
General Pico,0.0,AR,1553750863.0,66.0,-35.66,-63.75,16.17,5.66
Amapa,20.0,HN,1553749200.0,83.0,15.09,-87.97,23.0,1.0
Clearlake,1.0,US,1553750829.0,75.0,38.96,-122.63,11.11,1.71
Lasa,75.0,CY,1553747400.0,87.0,34.92,32.53,12.0,1.0
Cabra,0.0,ES,1553750604.0,81.0,37.47,-4.43,7.22,0.5
amderma,,,,,,,,
Baruun-Urt,24.0,MN,1553750865.0,25.0,46.68,113.28,2.52,4.11
Vredendal,24.0,ZA,1553750865.0,86.0,-31.68,18.49,12.27,1.51
Conceicao do Araguaia,8.0,BR,1553750865.0,95.0,-8.26,-49.26,22.32,1.21
Hithadhoo,48.0,MV,1553750677.0,100.0,-0.6,73.08,27.92,1.56
Sabha,76.0,LY,1553750866.0,60.0,27.03,14.43,17.12,1.26
Riyadh,0.0,SA,1553749200.0,26.0,24.63,46.72,21.0,4.6
Mercedes,0.0,UY,1553750866.0,87.0,-33.25,-58.03,15.22,5.21
Zhigansk,0.0,RU,1553750735.0,70.0,66.77,123.37,-7.44,1.51
Zalantun,48.0,CN,1553750703.0,25.0,48.0,122.72,2.97,1.71
Toora-Khem,64.0,RU,1553750867.0,54.0,52.47,96.11,0.22,2.76
Portree,92.0,GB,1553750175.0,95.0,57.41,-6.19,8.33,6.26
Coahuayana,0.0,MX,1553750746.0,50.0,18.62,-100.35,14.17,1.21
Fonte Boa,32.0,BR,1553750868.0,93.0,-2.51,-66.09,25.62,1.16
Keflavik,75.0,IS,1553750083.0,100.0,64.0,-22.56,0.0,4.6
Bani Walid,56.0,LY,1553750868.0,78.0,31.76,14.0,11.27,5.46
Valer,0.0,ES,1553750869.0,62.0,41.76,-6.18,0.47,3.56
tsihombe,,,,,,,,
Plastun,0.0,RU,1553750869.0,37.0,44.76,136.29,-2.89,3.46
Asosa,0.0,ET,1553750869.0,20.0,10.07,34.53,25.97,1.76
Carutapera,76.0,BR,1553750870.0,96.0,-1.2,-46.02,25.57,2.21
Punta Alta,0.0,AR,1553749200.0,77.0,-27.46,-55.82,19.0,3.1
Murdochville,48.0,CA,1553750870.0,64.0,48.96,-65.49,-1.49,4.76
Liwale,92.0,TZ,1553750870.0,99.0,-9.8,37.92,21.47,0.96
Myitkyina,92.0,MM,1553750871.0,81.0,25.38,97.4,20.57,1.16
Roxas,20.0,PH,1553750871.0,99.0,10.32,119.34,27.42,3.66
Constitucion,12.0,MX,1553750871.0,37.0,23.99,-104.67,18.42,4.86
karauzyak,,,,,,,,
Sao Filipe,0.0,CV,1553750872.0,100.0,14.9,-24.5,20.47,5.01
Tromso,75.0,NO,1553750368.0,86.0,69.65,18.96,4.0,15.9
Olinda,75.0,EC,1553750728.0,69.0,-2.03,-79.75,26.11,3.1
grande-riviere,,,,,,,,
Homer,1.0,US,1553750733.0,87.0,59.64,-151.54,6.0,2.6
Hirara,20.0,JP,1553749200.0,74.0,24.8,125.28,27.0,9.8
Shahr-e Babak,0.0,IR,1553750655.0,100.0,30.12,55.12,11.22,1.91
fevralsk,,,,,,,,
Koslan,80.0,RU,1553750874.0,79.0,63.46,48.9,-1.04,0.51
Togur,12.0,RU,1553750874.0,91.0,58.36,82.83,2.97,2.31
Praia da Vitoria,75.0,PT,1553750105.0,71.0,38.73,-27.07,14.0,6.26
Hervey Bay,90.0,AU,1553750109.0,88.0,-25.3,152.85,25.0,2.6
Salinas,40.0,US,1553750853.0,76.0,36.67,-121.66,13.0,2.31
Batsfjord,75.0,NO,1553748600.0,69.0,70.63,29.72,1.0,7.7
Bereda,0.0,ES,1553750639.0,93.0,43.27,-7.54,10.56,1.0
Vidim,90.0,CZ,1553750855.0,75.0,50.47,14.53,7.22,3.6
Chicama,40.0,PE,1553749200.0,83.0,-7.84,-79.15,21.0,3.1
Alice Springs,0.0,AU,1553749200.0,18.0,-23.7,133.88,29.0,5.1
sofiysk,,,,,,,,
Esik,75.0,KZ,1553749200.0,44.0,43.36,77.47,14.0,1.0
Gigmoto,64.0,PH,1553750877.0,96.0,13.78,124.39,26.97,3.96
Esna,0.0,RO,1553750878.0,59.0,45.2,27.57,2.97,3.56
Hofn,92.0,IS,1553750878.0,100.0,64.25,-15.21,2.42,4.26
Grove City,1.0,US,1553750616.0,69.0,39.88,-83.09,7.0,4.1
Killybegs,44.0,IE,1553750825.0,85.0,54.63,-8.45,6.67,2.24
Jaumave,5.0,MX,1553750715.0,73.0,23.41,-99.38,21.0,7.7
fort saint john,,,,,,,,
Atambua,100.0,ID,1553750879.0,100.0,-9.11,124.89,26.17,3.41
grand river south east,,,,,,,,
Nalagarh,20.0,IN,1553749200.0,52.0,31.04,76.72,20.0,2.1
Chisec,92.0,GT,1553750880.0,100.0,15.81,-90.29,17.67,0.66
Dryden,90.0,CA,1553749860.0,86.0,49.79,-92.84,1.0,5.1
Ruteng,88.0,ID,1553750880.0,90.0,-8.61,120.46,25.67,1.41
Nadym,0.0,RU,1553750881.0,97.0,65.53,72.51,-1.84,4.11
Cabras,32.0,CO,1553750881.0,88.0,5.5,-75.6,15.92,0.76
Sinnamary,92.0,GF,1553750881.0,93.0,5.38,-52.96,26.77,5.66
Harper,1.0,US,1553750866.0,72.0,30.3,-99.24,17.22,3.6
Oktyabrskoye,20.0,RU,1553750732.0,74.0,56.73,85.44,5.0,2.0
Itoman,75.0,JP,1553749200.0,78.0,26.12,127.67,26.0,7.2
marcona,,,,,,,,
Daru,88.0,SL,1553750883.0,94.0,7.99,-10.85,22.37,1.21
Coronel,0.0,MX,1553750883.0,77.0,17.95,-92.84,21.27,3.01
Libertador General San Martin,92.0,AR,1553750883.0,97.0,-23.81,-64.79,13.47,0.76
Cienfuegos,0.0,CU,1553749140.0,77.0,22.15,-80.44,19.0,2.6
Kibala,0.0,TD,1553749200.0,69.0,9.11,18.35,26.0,3.66
Lishu,0.0,CN,1553750884.0,48.0,43.31,124.32,5.52,4.06
Lagoa,0.0,PT,1553750837.0,71.0,37.14,-8.45,12.78,5.1
Agustin Codazzi,20.0,CO,1553745600.0,61.0,10.03,-73.24,28.0,6.2
Teguise,8.0,ES,1553749200.0,82.0,29.06,-13.56,17.0,3.1
Trairi,88.0,BR,1553750885.0,100.0,-3.28,-39.27,25.97,2.56
Carballo,0.0,ES,1553750828.0,72.0,43.21,-8.69,10.56,1.0
Abu Samrah,0.0,SY,1553750886.0,86.0,35.3,37.18,12.12,4.76
Umm Kaddadah,8.0,SD,1553750886.0,15.0,13.6,26.69,20.07,5.06
Sobolevo,12.0,RU,1553750887.0,55.0,54.43,31.9,-2.84,2.11
Paddhari,0.0,IN,1553750677.0,22.0,22.44,70.6,33.89,3.21
Peterhead,0.0,AU,1553750789.0,21.0,-34.83,138.5,28.89,5.7
Kargil,92.0,PK,1553750887.0,92.0,34.56,76.13,-6.44,0.81
Kiunga,8.0,PG,1553750888.0,59.0,-6.12,141.3,32.82,1.31
asfi,,,,,,,,
Ballina,64.0,IE,1553750525.0,85.0,54.11,-9.15,8.89,1.79
Ancud,90.0,CL,1553749200.0,100.0,-41.87,-73.83,7.0,1.5
Kurayoshi,75.0,JP,1553749200.0,66.0,35.43,133.83,11.0,8.2
Hargeysa,0.0,SO,1553749200.0,78.0,9.56,44.06,22.0,4.6
Minudasht,40.0,IR,1553749200.0,81.0,37.23,55.37,12.0,2.1
Fengrun,80.0,CN,1553750890.0,53.0,39.83,118.12,7.27,2.56
Chumikan,76.0,RU,1553750890.0,69.0,54.72,135.31,-5.09,2.01
Mayskiy,75.0,RU,1553749200.0,93.0,43.63,44.06,6.0,3.0
Algiers,1.0,US,1553750800.0,100.0,29.94,-90.04,15.56,2.66
Vao,0.0,EE,1553750891.0,90.0,59.1,26.19,-2.14,2.41
Portel,0.0,PT,1553749200.0,87.0,38.31,-7.71,8.0,2.1
Cloquet,90.0,US,1553750878.0,75.0,46.72,-92.46,6.0,6.2
Bubaque,88.0,GW,1553750892.0,100.0,11.28,-15.83,25.42,6.81
ituni,,,,,,,,
Souillac,0.0,FR,1553750829.0,80.0,45.6,-0.6,5.0,0.5
Dunedin,0.0,NZ,1553750779.0,76.0,-45.87,170.5,14.44,4.02
San Carlos de Bariloche,0.0,AR,1553749200.0,76.0,-41.13,-71.31,9.0,2.1
Porto Novo,40.0,BR,1553749200.0,88.0,-23.68,-45.44,20.0,3.1
Yilan,20.0,TW,1553750587.0,55.0,24.75,121.75,32.0,4.1
Boli,24.0,CN,1553750894.0,41.0,45.76,130.56,-1.09,3.91
Dongying,36.0,CN,1553750894.0,38.0,37.43,118.67,11.92,6.01
dolbeau,,,,,,,,
Senec,0.0,SK,1553750848.0,80.0,48.22,17.4,7.78,4.1
kemijarvi,,,,,,,,
Leshukonskoye,48.0,RU,1553750895.0,73.0,64.9,45.76,-2.54,2.21
San Patricio,0.0,PY,1553750896.0,75.0,-26.98,-56.83,19.92,2.51
Aykhal,0.0,RU,1553750896.0,81.0,65.95,111.51,-1.49,2.21
Meylan,0.0,FR,1553750858.0,92.0,45.21,5.78,5.0,0.71
Diego de Almagro,0.0,CL,1553750896.0,79.0,-26.39,-70.05,13.17,0.71
Northam,64.0,GB,1553750831.0,93.0,51.04,-4.21,5.0,2.1
Shubarkuduk,92.0,KZ,1553750897.0,100.0,49.15,56.49,2.27,5.11
Brattvag,88.0,NO,1553750704.0,87.0,62.6,6.44,10.0,11.3
Fort Nelson,5.0,CA,1553745600.0,64.0,58.81,-122.69,2.0,1.0
Kavieng,64.0,PG,1553750898.0,100.0,-2.57,150.8,29.12,4.76
Talcahuano,90.0,CL,1553749200.0,87.0,-36.72,-73.12,13.0,1.5
Lingao,0.0,CN,1553750683.0,59.0,19.91,109.69,32.47,0.76
Kristiansund,75.0,NO,1553748600.0,70.0,63.12,7.73,10.0,13.9
Papetoai,75.0,PF,1553749942.0,78.0,-17.5,-149.87,28.0,1.0
Darlowo,68.0,PL,1553750899.0,94.0,54.42,16.41,4.97,4.21
Thinadhoo,24.0,MV,1553750899.0,100.0,0.53,72.93,28.47,1.41
tabialan,,,,,,,,
Brae,88.0,GB,1553748600.0,87.0,60.4,-1.35,9.0,14.9
Iqaluit,75.0,CA,1553749921.0,77.0,63.75,-68.52,-16.0,5.1
Alexandria,1.0,US,1553750560.0,71.0,31.31,-92.44,11.0,1.51
Hobbs,20.0,US,1553750764.0,87.0,32.7,-103.14,16.11,5.1
Jablah,40.0,SY,1553749200.0,82.0,35.36,35.93,13.0,2.1
Salekhard,12.0,RU,1553750901.0,85.0,66.54,66.62,-5.09,2.16
Jiazi,40.0,CN,1553749200.0,49.0,19.61,110.49,33.0,3.0
Moba,64.0,CD,1553750902.0,100.0,-7.04,29.77,21.37,1.31
Iquique,0.0,CL,1553749200.0,68.0,-20.22,-70.14,21.0,4.6
Griffith,56.0,AU,1553749200.0,27.0,-34.29,146.06,31.0,5.7
Fukuma,75.0,JP,1553750626.0,52.0,33.77,130.47,21.11,5.1
Faya,40.0,SA,1553749200.0,77.0,18.39,42.45,18.0,3.6
Seoul,1.0,KR,1553749800.0,30.0,37.57,126.98,15.0,2.6
Dubbo,90.0,AU,1553749200.0,39.0,-32.25,148.6,28.0,2.6
Muroto,75.0,JP,1553749200.0,55.0,33.37,134.14,18.0,4.1
Price,1.0,US,1553750708.0,52.0,39.6,-110.81,7.78,4.6
Aripuana,20.0,BR,1553750904.0,95.0,-9.17,-60.63,24.12,1.31
Saint Anthony,1.0,US,1553750708.0,49.0,43.97,-111.68,8.0,1.5
Mirnyy,80.0,RU,1553750905.0,85.0,56.57,36.46,-3.09,6.31
Seymchan,64.0,RU,1553750905.0,74.0,62.93,152.39,-11.69,4.76
Nikel,0.0,NO,1553748600.0,63.0,69.41,30.21,-1.0,11.8
Revelstoke,1.0,CA,1553749200.0,78.0,50.99,-118.19,2.0,1.0
Yeppoon,75.0,AU,1553749200.0,65.0,-23.13,150.74,28.0,5.1
Moose Factory,90.0,CA,1553749200.0,93.0,51.26,-80.61,2.0,8.2
Yarada,0.0,IN,1553749200.0,59.0,17.65,83.27,32.0,2.1
Tselinnoye,56.0,UA,1553750907.0,98.0,45.9,34.18,3.77,7.51
Cotonou,40.0,BJ,1553745600.0,83.0,6.37,2.43,29.0,4.1
yirol,,,,,,,,
Dakar,24.0,SN,1553749200.0,82.0,14.69,-17.45,19.0,6.2
sorvag,,,,,,,,
Gondanglegi,68.0,ID,1553750908.0,87.0,-7.75,112.01,28.67,1.86
Birecik,20.0,TR,1553750314.0,100.0,37.03,37.98,10.56,0.5
Bathsheba,75.0,BB,1553749200.0,69.0,13.22,-59.52,26.0,8.2
Takoradi,20.0,GH,1553750909.0,100.0,4.89,-1.75,26.77,1.96
paradwip,,,,,,,,
Puerto Leguizamo,92.0,CO,1553750909.0,97.0,-0.19,-74.78,23.22,1.21
Hambantota,20.0,LK,1553749800.0,49.0,6.12,81.12,34.0,3.1
Znamenskoye,0.0,RU,1553750910.0,99.0,57.13,73.82,1.67,2.11
La Ronge,40.0,CA,1553745600.0,63.0,55.1,-105.3,-3.0,5.1
Skibbereen,0.0,IE,1553749200.0,93.0,51.55,-9.27,4.0,2.1
Presidente Epitacio,44.0,BR,1553750873.0,51.0,-21.76,-52.12,28.42,5.26
Voyvozh,76.0,RU,1553750911.0,94.0,62.89,54.96,-0.54,2.91
Ozorkow,75.0,PL,1553750905.0,93.0,51.96,19.29,6.11,4.1
yefira,,,,,,,,
Zermatt,0.0,CH,1553750721.0,74.0,46.02,7.75,4.44,0.5
lolua,,,,,,,,
Mayo,75.0,CA,1553749200.0,74.0,63.59,-135.9,3.0,1.0
artyk,,,,,,,,
uk,,,,,,,,
Enumclaw,90.0,US,1553750911.0,100.0,47.2,-121.99,11.11,1.5
Suntar,0.0,RU,1553750913.0,64.0,62.16,117.65,-2.74,1.71
Kargasok,64.0,RU,1553750914.0,69.0,59.06,80.87,4.27,1.51
Axim,8.0,GH,1553750914.0,98.0,4.87,-2.24,28.07,2.76
Hovd,75.0,NO,1553750765.0,100.0,63.83,10.7,7.78,4.1
Audru,8.0,EE,1553750644.0,85.0,58.41,24.36,1.11,3.58
Olutanga,88.0,PH,1553750915.0,100.0,7.31,122.85,26.82,1.96
Tirodi,0.0,IN,1553750915.0,28.0,21.68,79.73,35.47,2.56
Adrar,0.0,DZ,1553745600.0,55.0,27.87,-0.29,17.0,2.6
Bukachacha,36.0,RU,1553750916.0,31.0,52.99,116.91,-2.09,2.31
Pringsewu,76.0,ID,1553750916.0,83.0,-5.36,104.98,28.42,1.36
Trinidad,0.0,UY,1553750916.0,80.0,-33.52,-56.9,13.77,4.46
Rosetta,20.0,EG,1553745600.0,93.0,31.4,30.42,10.0,3.11
